model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
Qwen/Qwen2.5-1.5B,CLM,F0,friend,0,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,friend,1,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,friend,3,0.051484428346157074,0.10296885669231415,2
Qwen/Qwen2.5-1.5B,CLM,F0,friend,5,0.03059673309326172,0.12238693237304688,4
Qwen/Qwen2.5-1.5B,CLM,F0,friend,10,0.015265747904777527,0.13739173114299774,9
Qwen/Qwen2.5-1.5B,CLM,F0,friend,20,0.008129797483745375,0.1544661521911621,19
Qwen/Qwen2.5-1.5B,CLM,F0,friend,30,0.012514509003737876,0.36292076110839844,29
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,0,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,1,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,3,0.0685323104262352,0.1370646208524704,2
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,5,0.05032603070139885,0.2013041228055954,4
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,10,0.024370123942693073,0.21933111548423767,9
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,20,0.013312088815789474,0.2529296875,19
Qwen/Qwen2.5-1.5B,CLM,F0,pearl,30,0.009861123972925646,0.28597259521484375,29
Qwen/Qwen2.5-1.5B,CLM,F0,power,0,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,power,1,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,power,3,0.052021026611328125,0.10404205322265625,2
Qwen/Qwen2.5-1.5B,CLM,F0,power,5,0.03241157904267311,0.12964631617069244,4
Qwen/Qwen2.5-1.5B,CLM,F0,power,10,0.01308388180202908,0.11775493621826172,9
Qwen/Qwen2.5-1.5B,CLM,F0,power,20,0.01958663212625604,0.37214601039886475,19
Qwen/Qwen2.5-1.5B,CLM,F0,power,30,0.019134901720902014,0.5549121499061584,29
Qwen/Qwen2.5-1.5B,CLM,F0,frog,0,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,frog,1,,,0
Qwen/Qwen2.5-1.5B,CLM,F0,frog,3,0.0733896940946579,0.1467793881893158,2
Qwen/Qwen2.5-1.5B,CLM,F0,frog,5,0.044299446046352386,0.17719778418540955,4
Qwen/Qwen2.5-1.5B,CLM,F0,frog,10,0.04885306623246935,0.4396775960922241,9
Qwen/Qwen2.5-1.5B,CLM,F0,frog,20,0.03283515729402241,0.6238679885864258,19
