model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
Qwen/Qwen2.5-7B,CLM,F0,friend,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,friend,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,friend,3,0.02366359531879425,0.0473271906375885,2
Qwen/Qwen2.5-7B,CLM,F0,friend,5,0.011047227308154106,0.044188909232616425,4
Qwen/Qwen2.5-7B,CLM,F0,friend,10,0.004972270379463832,0.044750433415174484,9
Qwen/Qwen2.5-7B,CLM,F0,friend,20,0.004024898927462728,0.07647307962179184,19
Qwen/Qwen2.5-7B,CLM,F0,friend,30,0.0017326499881415531,0.05024684965610504,29
Qwen/Qwen2.5-7B,CLM,F0,pearl,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,pearl,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,pearl,3,0.019353600218892097,0.038707200437784195,2
Qwen/Qwen2.5-7B,CLM,F0,pearl,5,0.012691770680248737,0.05076708272099495,4
Qwen/Qwen2.5-7B,CLM,F0,pearl,10,0.006116400990221236,0.05504760891199112,9
Qwen/Qwen2.5-7B,CLM,F0,pearl,20,0.005556801432057431,0.10557922720909119,19
Qwen/Qwen2.5-7B,CLM,F0,pearl,30,0.0036358869281308405,0.10544072091579437,29
Qwen/Qwen2.5-7B,CLM,F0,power,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,power,1,,,0
Qwen/Qwen2.5-7B,CLM,F0,power,3,0.09192037582397461,0.18384075164794922,2
Qwen/Qwen2.5-7B,CLM,F0,power,5,0.10687398910522461,0.42749595642089844,4
Qwen/Qwen2.5-7B,CLM,F0,power,10,0.058945669068230525,0.5305110216140747,9
Qwen/Qwen2.5-7B,CLM,F0,power,20,0.03153989503258153,0.5992580056190491,19
Qwen/Qwen2.5-7B,CLM,F0,power,30,0.020469858728606124,0.5936259031295776,29
Qwen/Qwen2.5-7B,CLM,F0,frog,0,,,0
Qwen/Qwen2.5-7B,CLM,F0,frog,1,,,0
