model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
allenai/OLMo-2-1124-7B,CLM,F0,friend,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,friend,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,friend,3,0.017459064722061157,0.034918129444122314,2
allenai/OLMo-2-1124-7B,CLM,F0,friend,5,0.011999085545539856,0.047996342182159424,4
allenai/OLMo-2-1124-7B,CLM,F0,friend,10,0.007483128044340346,0.06734815239906311,9
allenai/OLMo-2-1124-7B,CLM,F0,friend,20,0.005209932201787045,0.09898871183395386,19
allenai/OLMo-2-1124-7B,CLM,F0,friend,30,0.0041449075115138085,0.12020231783390045,29
allenai/OLMo-2-1124-7B,CLM,F0,pearl,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,pearl,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,pearl,3,0.012099608778953552,0.024199217557907104,2
allenai/OLMo-2-1124-7B,CLM,F0,pearl,5,0.00855223834514618,0.03420895338058472,4
allenai/OLMo-2-1124-7B,CLM,F0,pearl,10,0.005010455846786499,0.04509410262107849,9
allenai/OLMo-2-1124-7B,CLM,F0,pearl,20,0.003413992492776168,0.06486585736274719,19
allenai/OLMo-2-1124-7B,CLM,F0,pearl,30,0.01933469032419139,0.5607060194015503,29
allenai/OLMo-2-1124-7B,CLM,F0,power,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,power,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,power,3,0.011841386556625366,0.023682773113250732,2
allenai/OLMo-2-1124-7B,CLM,F0,power,5,0.01052287220954895,0.0420914888381958,4
allenai/OLMo-2-1124-7B,CLM,F0,power,10,0.007174518373277452,0.06457066535949707,9
allenai/OLMo-2-1124-7B,CLM,F0,power,20,0.005181855277011269,0.09845525026321411,19
allenai/OLMo-2-1124-7B,CLM,F0,power,30,0.0042214177805801915,0.12242111563682556,29
allenai/OLMo-2-1124-7B,CLM,F0,frog,0,,,0
allenai/OLMo-2-1124-7B,CLM,F0,frog,1,,,0
allenai/OLMo-2-1124-7B,CLM,F0,frog,3,0.019653677940368652,0.039307355880737305,2
