model,family,frame_id,target_word,N,target_prob
Qwen/Qwen2.5-1.5B,CLM,F0,future,0,6.365563604049385e-05
Qwen/Qwen2.5-1.5B,CLM,F0,future,1,0.0027245173696428537
Qwen/Qwen2.5-1.5B,CLM,F0,future,3,0.0338921993970871
Qwen/Qwen2.5-1.5B,CLM,F0,future,5,0.007623656652867794
Qwen/Qwen2.5-1.5B,CLM,F0,future,10,0.024420414119958878
Qwen/Qwen2.5-1.5B,CLM,F0,future,20,0.0005372153827920556
Qwen/Qwen2.5-1.5B,CLM,F0,future,30,0.0002906819572672248
Qwen/Qwen2.5-1.5B,CLM,F0,bag,0,9.170464181806892e-06
Qwen/Qwen2.5-1.5B,CLM,F0,bag,1,0.001187050249427557
Qwen/Qwen2.5-1.5B,CLM,F0,bag,3,0.011996330693364143
Qwen/Qwen2.5-1.5B,CLM,F0,bag,5,0.012423878535628319
Qwen/Qwen2.5-1.5B,CLM,F0,bag,10,0.0048313322477042675
Qwen/Qwen2.5-1.5B,CLM,F0,bag,20,0.000654486648272723
Qwen/Qwen2.5-1.5B,CLM,F0,bag,30,0.0010310772340744734
Qwen/Qwen2.5-1.5B,CLM,F0,nature,0,0.00018419369007460773
Qwen/Qwen2.5-1.5B,CLM,F0,nature,1,0.001040303846821189
Qwen/Qwen2.5-1.5B,CLM,F0,nature,3,0.007570984307676554
Qwen/Qwen2.5-1.5B,CLM,F0,nature,5,0.018079668283462524
Qwen/Qwen2.5-1.5B,CLM,F0,nature,10,0.009989063255488873
Qwen/Qwen2.5-1.5B,CLM,F0,nature,20,0.0005395611515268683
Qwen/Qwen2.5-1.5B,CLM,F0,nature,30,0.0006016703555360436
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,0,0.00026800023624673486
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,1,0.023827342316508293
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,3,0.24611438810825348
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,5,0.2661498785018921
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,10,0.16082283854484558
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,20,0.18554526567459106
Qwen/Qwen2.5-1.5B,CLM,F0,liberty,30,0.49401769042015076
Qwen/Qwen2.5-1.5B,CLM,F0,logic,0,0.0001527019339846447
Qwen/Qwen2.5-1.5B,CLM,F0,logic,1,0.019508080556988716
Qwen/Qwen2.5-1.5B,CLM,F0,logic,3,0.12444572895765305
Qwen/Qwen2.5-1.5B,CLM,F0,logic,5,0.10114424675703049
Qwen/Qwen2.5-1.5B,CLM,F0,logic,10,0.038842346519231796
Qwen/Qwen2.5-1.5B,CLM,F0,logic,20,0.003425643080845475
