model,family,frame_id,target_word,N,target_prob
Qwen/Qwen2.5-7B,CLM,F0,future,0,4.535249536274932e-05
Qwen/Qwen2.5-7B,CLM,F0,future,1,0.0012588273966684937
Qwen/Qwen2.5-7B,CLM,F0,future,3,0.009635492227971554
Qwen/Qwen2.5-7B,CLM,F0,future,5,0.041981812566518784
Qwen/Qwen2.5-7B,CLM,F0,future,10,0.06919185072183609
Qwen/Qwen2.5-7B,CLM,F0,future,20,0.04462428763508797
Qwen/Qwen2.5-7B,CLM,F0,future,30,0.06507394462823868
Qwen/Qwen2.5-7B,CLM,F0,bag,0,8.655675628688186e-06
Qwen/Qwen2.5-7B,CLM,F0,bag,1,0.0006983457133173943
Qwen/Qwen2.5-7B,CLM,F0,bag,3,0.02921649068593979
Qwen/Qwen2.5-7B,CLM,F0,bag,5,0.10598070174455643
Qwen/Qwen2.5-7B,CLM,F0,bag,10,0.24340419471263885
Qwen/Qwen2.5-7B,CLM,F0,bag,20,0.05732322111725807
Qwen/Qwen2.5-7B,CLM,F0,bag,30,0.04232276976108551
Qwen/Qwen2.5-7B,CLM,F0,nature,0,0.0001271942164748907
Qwen/Qwen2.5-7B,CLM,F0,nature,1,0.011594302952289581
Qwen/Qwen2.5-7B,CLM,F0,nature,3,0.13008613884449005
Qwen/Qwen2.5-7B,CLM,F0,nature,5,0.06622203439474106
Qwen/Qwen2.5-7B,CLM,F0,nature,10,0.0820896327495575
Qwen/Qwen2.5-7B,CLM,F0,nature,20,0.10251685231924057
Qwen/Qwen2.5-7B,CLM,F0,nature,30,0.08812885731458664
Qwen/Qwen2.5-7B,CLM,F0,liberty,0,0.00018506649939808995
Qwen/Qwen2.5-7B,CLM,F0,liberty,1,0.3530441224575043
Qwen/Qwen2.5-7B,CLM,F0,liberty,3,0.46595337986946106
Qwen/Qwen2.5-7B,CLM,F0,liberty,5,0.3258446156978607
Qwen/Qwen2.5-7B,CLM,F0,liberty,10,0.24436555802822113
Qwen/Qwen2.5-7B,CLM,F0,liberty,20,0.03051953949034214
Qwen/Qwen2.5-7B,CLM,F0,liberty,30,0.17881131172180176
Qwen/Qwen2.5-7B,CLM,F0,logic,0,5.8233756135450676e-05
Qwen/Qwen2.5-7B,CLM,F0,logic,1,0.005067275371402502
Qwen/Qwen2.5-7B,CLM,F0,logic,3,0.091219961643219
Qwen/Qwen2.5-7B,CLM,F0,logic,5,0.17041292786598206
Qwen/Qwen2.5-7B,CLM,F0,logic,10,0.2883701026439667
Qwen/Qwen2.5-7B,CLM,F0,logic,20,0.13171423971652985
Qwen/Qwen2.5-7B,CLM,F0,logic,30,0.024272195994853973
Qwen/Qwen2.5-7B,CLM,F0,justice,0,0.0007319521973840892
Qwen/Qwen2.5-7B,CLM,F0,justice,1,0.2497803121805191
Qwen/Qwen2.5-7B,CLM,F0,justice,3,0.6018921732902527
Qwen/Qwen2.5-7B,CLM,F0,justice,5,0.47071266174316406
Qwen/Qwen2.5-7B,CLM,F0,justice,10,0.2497883141040802
Qwen/Qwen2.5-7B,CLM,F0,justice,20,0.16890297830104828
Qwen/Qwen2.5-7B,CLM,F0,justice,30,0.2035311907529831
Qwen/Qwen2.5-7B,CLM,F0,life,0,0.00017385388491675258
Qwen/Qwen2.5-7B,CLM,F0,life,1,0.006271245423704386
Qwen/Qwen2.5-7B,CLM,F0,life,3,0.09818129241466522
Qwen/Qwen2.5-7B,CLM,F0,life,5,0.06115178391337395
Qwen/Qwen2.5-7B,CLM,F0,life,10,0.1760358065366745
Qwen/Qwen2.5-7B,CLM,F0,life,20,0.14262042939662933
Qwen/Qwen2.5-7B,CLM,F0,life,30,0.09585706144571304
Qwen/Qwen2.5-7B,CLM,F0,chair,0,1.3831729120283853e-05
Qwen/Qwen2.5-7B,CLM,F0,chair,1,0.005039074458181858
Qwen/Qwen2.5-7B,CLM,F0,chair,3,0.04795912653207779
Qwen/Qwen2.5-7B,CLM,F0,chair,5,0.057144466787576675
Qwen/Qwen2.5-7B,CLM,F0,chair,10,0.1788477897644043
Qwen/Qwen2.5-7B,CLM,F0,chair,20,0.027299394831061363
Qwen/Qwen2.5-7B,CLM,F0,chair,30,0.03296152502298355
Qwen/Qwen2.5-7B,CLM,F0,pain,0,0.0001194879223476164
Qwen/Qwen2.5-7B,CLM,F0,pain,1,0.01085286308079958
Qwen/Qwen2.5-7B,CLM,F0,pain,3,0.020480962470173836
Qwen/Qwen2.5-7B,CLM,F0,pain,5,0.15326370298862457
Qwen/Qwen2.5-7B,CLM,F0,pain,10,0.3139444887638092
Qwen/Qwen2.5-7B,CLM,F0,pain,20,0.25626233220100403
Qwen/Qwen2.5-7B,CLM,F0,pain,30,0.08973104506731033
Qwen/Qwen2.5-7B,CLM,F0,problem,0,5.8233756135450676e-05
Qwen/Qwen2.5-7B,CLM,F0,problem,1,0.0008644361514598131
Qwen/Qwen2.5-7B,CLM,F0,problem,3,0.24464386701583862
Qwen/Qwen2.5-7B,CLM,F0,problem,5,0.1250118464231491
Qwen/Qwen2.5-7B,CLM,F0,problem,10,0.15678100287914276
Qwen/Qwen2.5-7B,CLM,F0,problem,20,0.021500641480088234
Qwen/Qwen2.5-7B,CLM,F0,problem,30,0.11459704488515854
Qwen/Qwen2.5-7B,CLM,F0,conscience,0,0.0002097078104270622
Qwen/Qwen2.5-7B,CLM,F0,conscience,1,0.06870671361684799
Qwen/Qwen2.5-7B,CLM,F0,conscience,3,0.2552143931388855
Qwen/Qwen2.5-7B,CLM,F0,conscience,5,0.19329693913459778
Qwen/Qwen2.5-7B,CLM,F0,conscience,10,0.12695729732513428
Qwen/Qwen2.5-7B,CLM,F0,conscience,20,0.2942245602607727
Qwen/Qwen2.5-7B,CLM,F0,conscience,30,0.20450754463672638
Qwen/Qwen2.5-7B,CLM,F0,sun,0,3.75985364371445e-05
Qwen/Qwen2.5-7B,CLM,F0,sun,1,0.0071875243447721004
Qwen/Qwen2.5-7B,CLM,F0,sun,3,0.009353592991828918
Qwen/Qwen2.5-7B,CLM,F0,sun,5,0.0271771140396595
Qwen/Qwen2.5-7B,CLM,F0,sun,10,0.021248076111078262
Qwen/Qwen2.5-7B,CLM,F0,sun,20,0.029029609635472298
Qwen/Qwen2.5-7B,CLM,F0,sun,30,0.04051246494054794
Qwen/Qwen2.5-7B,CLM,F0,meat,0,9.213918019668199e-06
Qwen/Qwen2.5-7B,CLM,F0,meat,1,0.009918601252138615
Qwen/Qwen2.5-7B,CLM,F0,meat,3,0.029426129534840584
Qwen/Qwen2.5-7B,CLM,F0,meat,5,0.08184655755758286
Qwen/Qwen2.5-7B,CLM,F0,meat,10,0.07557730376720428
Qwen/Qwen2.5-7B,CLM,F0,meat,20,0.041077371686697006
