model,family,frame_id,target_word,N,target_prob
allenai/OLMo-2-1124-7B,CLM,F0,future,0,5.801900988444686e-05
allenai/OLMo-2-1124-7B,CLM,F0,future,1,0.0016515097813680768
allenai/OLMo-2-1124-7B,CLM,F0,future,3,0.005569194909185171
allenai/OLMo-2-1124-7B,CLM,F0,future,5,0.004830020014196634
allenai/OLMo-2-1124-7B,CLM,F0,future,10,0.024441976100206375
allenai/OLMo-2-1124-7B,CLM,F0,future,20,0.04668954387307167
allenai/OLMo-2-1124-7B,CLM,F0,future,30,0.02750280871987343
allenai/OLMo-2-1124-7B,CLM,F0,bag,0,1.1787275980168488e-05
allenai/OLMo-2-1124-7B,CLM,F0,bag,1,0.00011446788266766816
allenai/OLMo-2-1124-7B,CLM,F0,bag,3,0.017717652022838593
allenai/OLMo-2-1124-7B,CLM,F0,bag,5,0.019543059170246124
allenai/OLMo-2-1124-7B,CLM,F0,bag,10,0.08405137062072754
allenai/OLMo-2-1124-7B,CLM,F0,bag,20,0.13491486012935638
allenai/OLMo-2-1124-7B,CLM,F0,bag,30,0.1046280488371849
allenai/OLMo-2-1124-7B,CLM,F0,nature,0,5.623394827125594e-05
allenai/OLMo-2-1124-7B,CLM,F0,nature,1,0.0015015077078714967
allenai/OLMo-2-1124-7B,CLM,F0,nature,3,0.008159676566720009
allenai/OLMo-2-1124-7B,CLM,F0,nature,5,0.005628721322864294
allenai/OLMo-2-1124-7B,CLM,F0,nature,10,0.0040967464447021484
allenai/OLMo-2-1124-7B,CLM,F0,nature,20,0.007197199389338493
allenai/OLMo-2-1124-7B,CLM,F0,nature,30,0.01217715535312891
allenai/OLMo-2-1124-7B,CLM,F0,liberty,0,0.00010182652476942167
allenai/OLMo-2-1124-7B,CLM,F0,liberty,1,0.011374253779649734
allenai/OLMo-2-1124-7B,CLM,F0,liberty,3,0.08039664477109909
allenai/OLMo-2-1124-7B,CLM,F0,liberty,5,0.07517076283693314
allenai/OLMo-2-1124-7B,CLM,F0,liberty,10,0.06096114590764046
allenai/OLMo-2-1124-7B,CLM,F0,liberty,20,0.028271161019802094
allenai/OLMo-2-1124-7B,CLM,F0,liberty,30,0.02067878656089306
allenai/OLMo-2-1124-7B,CLM,F0,logic,0,5.623394827125594e-05
allenai/OLMo-2-1124-7B,CLM,F0,logic,1,0.00044329441152513027
allenai/OLMo-2-1124-7B,CLM,F0,logic,3,0.008235701359808445
allenai/OLMo-2-1124-7B,CLM,F0,logic,5,0.016327807679772377
allenai/OLMo-2-1124-7B,CLM,F0,logic,10,0.013517127372324467
allenai/OLMo-2-1124-7B,CLM,F0,logic,20,0.020755622535943985
allenai/OLMo-2-1124-7B,CLM,F0,logic,30,0.026538565754890442
allenai/OLMo-2-1124-7B,CLM,F0,justice,0,0.0007762856548652053
allenai/OLMo-2-1124-7B,CLM,F0,justice,1,0.02956225909292698
allenai/OLMo-2-1124-7B,CLM,F0,justice,3,0.037606388330459595
allenai/OLMo-2-1124-7B,CLM,F0,justice,5,0.047646887600421906
allenai/OLMo-2-1124-7B,CLM,F0,justice,10,0.07843661308288574
allenai/OLMo-2-1124-7B,CLM,F0,justice,20,0.09857667237520218
allenai/OLMo-2-1124-7B,CLM,F0,justice,30,0.1026393249630928
allenai/OLMo-2-1124-7B,CLM,F0,life,0,6.998427852522582e-05
allenai/OLMo-2-1124-7B,CLM,F0,life,1,0.00041218975093215704
allenai/OLMo-2-1124-7B,CLM,F0,life,3,0.008496850728988647
allenai/OLMo-2-1124-7B,CLM,F0,life,5,0.012583179399371147
allenai/OLMo-2-1124-7B,CLM,F0,life,10,0.03258964419364929
allenai/OLMo-2-1124-7B,CLM,F0,life,20,0.04776732251048088
allenai/OLMo-2-1124-7B,CLM,F0,life,30,0.02628260850906372
allenai/OLMo-2-1124-7B,CLM,F0,chair,0,3.594915824578493e-06
allenai/OLMo-2-1124-7B,CLM,F0,chair,1,0.0001401674235239625
allenai/OLMo-2-1124-7B,CLM,F0,chair,3,0.01179637759923935
allenai/OLMo-2-1124-7B,CLM,F0,chair,5,0.014252325519919395
allenai/OLMo-2-1124-7B,CLM,F0,chair,10,0.056608133018016815
allenai/OLMo-2-1124-7B,CLM,F0,chair,20,0.08831921219825745
allenai/OLMo-2-1124-7B,CLM,F0,chair,30,0.12949581444263458
allenai/OLMo-2-1124-7B,CLM,F0,pain,0,0.00013489823322743177
allenai/OLMo-2-1124-7B,CLM,F0,pain,1,0.004298568703234196
allenai/OLMo-2-1124-7B,CLM,F0,pain,3,0.02136451005935669
allenai/OLMo-2-1124-7B,CLM,F0,pain,5,0.020066646859049797
allenai/OLMo-2-1124-7B,CLM,F0,pain,10,0.047144562005996704
allenai/OLMo-2-1124-7B,CLM,F0,pain,20,0.04331885650753975
allenai/OLMo-2-1124-7B,CLM,F0,pain,30,0.04047024995088577
allenai/OLMo-2-1124-7B,CLM,F0,problem,0,5.623394827125594e-05
allenai/OLMo-2-1124-7B,CLM,F0,problem,1,0.0005264345090836287
allenai/OLMo-2-1124-7B,CLM,F0,problem,3,0.0178374033421278
allenai/OLMo-2-1124-7B,CLM,F0,problem,5,0.015916896983981133
allenai/OLMo-2-1124-7B,CLM,F0,problem,10,0.043937377631664276
allenai/OLMo-2-1124-7B,CLM,F0,problem,20,0.05775640159845352
allenai/OLMo-2-1124-7B,CLM,F0,problem,30,0.02149098925292492
allenai/OLMo-2-1124-7B,CLM,F0,conscience,0,0.00010505884711164981
allenai/OLMo-2-1124-7B,CLM,F0,conscience,1,0.009217745624482632
allenai/OLMo-2-1124-7B,CLM,F0,conscience,3,0.198279470205307
allenai/OLMo-2-1124-7B,CLM,F0,conscience,5,0.19241881370544434
allenai/OLMo-2-1124-7B,CLM,F0,conscience,10,0.13992983102798462
allenai/OLMo-2-1124-7B,CLM,F0,conscience,20,0.07254840433597565
allenai/OLMo-2-1124-7B,CLM,F0,conscience,30,0.0015200257766991854
allenai/OLMo-2-1124-7B,CLM,F0,sun,0,1.7150385247077793e-05
allenai/OLMo-2-1124-7B,CLM,F0,sun,1,0.00017759428010322154
allenai/OLMo-2-1124-7B,CLM,F0,sun,3,0.014766712673008442
allenai/OLMo-2-1124-7B,CLM,F0,sun,5,0.021896639838814735
allenai/OLMo-2-1124-7B,CLM,F0,sun,10,0.03216036036610603
allenai/OLMo-2-1124-7B,CLM,F0,sun,20,0.03621649369597435
allenai/OLMo-2-1124-7B,CLM,F0,sun,30,0.035095203667879105
allenai/OLMo-2-1124-7B,CLM,F0,meat,0,1.3356733688851818e-05
allenai/OLMo-2-1124-7B,CLM,F0,meat,1,0.0013722911244258285
allenai/OLMo-2-1124-7B,CLM,F0,meat,3,0.04740072786808014
allenai/OLMo-2-1124-7B,CLM,F0,meat,5,0.06534577906131744
allenai/OLMo-2-1124-7B,CLM,F0,meat,10,0.05791560560464859
allenai/OLMo-2-1124-7B,CLM,F0,meat,20,0.04548446461558342
allenai/OLMo-2-1124-7B,CLM,F0,meat,30,0.03154274448752403
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,0,1.9433931811363436e-05
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,1,0.0006901748711243272
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,3,0.06407983601093292
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,5,0.10561013966798782
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,10,0.12116581946611404
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,20,0.08522942662239075
allenai/OLMo-2-1124-7B,CLM,F0,doctrine,30,0.027217485010623932
allenai/OLMo-2-1124-7B,CLM,F0,office,0,2.180426690756576e-06
allenai/OLMo-2-1124-7B,CLM,F0,office,1,1.8874101442634128e-05
allenai/OLMo-2-1124-7B,CLM,F0,office,3,0.0012722547398880124
allenai/OLMo-2-1124-7B,CLM,F0,office,5,0.007629077881574631
allenai/OLMo-2-1124-7B,CLM,F0,office,10,0.01601048931479454
allenai/OLMo-2-1124-7B,CLM,F0,office,20,0.03913448378443718
allenai/OLMo-2-1124-7B,CLM,F0,office,30,0.08461707830429077
allenai/OLMo-2-1124-7B,CLM,F0,money,0,7.686268509132788e-05
allenai/OLMo-2-1124-7B,CLM,F0,money,1,0.0018453724915161729
allenai/OLMo-2-1124-7B,CLM,F0,money,3,0.04365333914756775
allenai/OLMo-2-1124-7B,CLM,F0,money,5,0.09697343409061432
allenai/OLMo-2-1124-7B,CLM,F0,money,10,0.1798970252275467
allenai/OLMo-2-1124-7B,CLM,F0,money,20,0.1286662071943283
allenai/OLMo-2-1124-7B,CLM,F0,money,30,0.06855615973472595
allenai/OLMo-2-1124-7B,CLM,F0,legacy,0,0.00036669138353317976
allenai/OLMo-2-1124-7B,CLM,F0,legacy,1,0.0028036381117999554
allenai/OLMo-2-1124-7B,CLM,F0,legacy,3,0.12303116172552109
allenai/OLMo-2-1124-7B,CLM,F0,legacy,5,0.14758431911468506
allenai/OLMo-2-1124-7B,CLM,F0,legacy,10,0.09362047910690308
allenai/OLMo-2-1124-7B,CLM,F0,legacy,20,0.028104282915592194
allenai/OLMo-2-1124-7B,CLM,F0,legacy,30,0.021579599007964134
allenai/OLMo-2-1124-7B,CLM,F0,arm,0,1.7150385247077793e-05
allenai/OLMo-2-1124-7B,CLM,F0,arm,1,7.197432569228113e-05
allenai/OLMo-2-1124-7B,CLM,F0,arm,3,0.0015394334914162755
allenai/OLMo-2-1124-7B,CLM,F0,arm,5,0.00633268291130662
allenai/OLMo-2-1124-7B,CLM,F0,arm,10,0.007218204438686371
allenai/OLMo-2-1124-7B,CLM,F0,arm,20,0.0009343852871097624
allenai/OLMo-2-1124-7B,CLM,F0,arm,30,0.003971179015934467
allenai/OLMo-2-1124-7B,CLM,F0,change,0,0.0002442691184114665
allenai/OLMo-2-1124-7B,CLM,F0,change,1,0.0013857672456651926
allenai/OLMo-2-1124-7B,CLM,F0,change,3,0.04384554922580719
allenai/OLMo-2-1124-7B,CLM,F0,change,5,0.06377998739480972
allenai/OLMo-2-1124-7B,CLM,F0,change,10,0.053620968014001846
allenai/OLMo-2-1124-7B,CLM,F0,change,20,0.07562676817178726
allenai/OLMo-2-1124-7B,CLM,F0,change,30,0.06616533547639847
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,0,0.00017321277118753642
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,1,0.009699373506009579
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,3,0.08754818886518478
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,5,0.13807004690170288
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,10,0.143397718667984
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,20,0.1278780698776245
allenai/OLMo-2-1124-7B,CLM,F0,tyranny,30,0.009284327737987041
allenai/OLMo-2-1124-7B,CLM,F0,ladder,0,5.927014626649907e-06
