model,frame_class,peak_N_mean_curve,peak_P_mean_curve,P_N30_mean_curve,n_words,drop_mean,drop_ci_lo,drop_ci_hi,mean_curve_inverts
Qwen/Qwen2.5-1.5B,ORIG,5,0.06762481681367301,0.029183891462265927,256,0.7129345895879577,0.6793393159739761,0.7485552218117587,True
Qwen/Qwen2.5-1.5B,NEUTRAL,3,0.0871856523951694,0.027026619196966483,256,0.747841250929389,0.7145251945681773,0.7785770295458478,True
Qwen/Qwen2.5-1.5B,ANAPHORIC,5,0.168195249809622,0.0662216343821621,256,0.7189030411053031,0.6745820112029423,0.7596993195912739,True
Qwen/Qwen2.5-1.5B,NOVELTY,5,0.05014482560888318,0.02599872240726896,256,0.6573674881734297,0.6140606741572258,0.6987091111587214,True
Qwen/Qwen2.5-7B,ORIG,5,0.0855816165030205,0.06891412535887294,256,0.31116974644469414,0.27913124894825136,0.34173108731203566,True
Qwen/Qwen2.5-7B,NEUTRAL,30,0.1119225736692494,0.1119225736692494,256,0.19350173525840744,0.16552515274977636,0.2228696363141067,False
Qwen/Qwen2.5-7B,ANAPHORIC,10,0.31923838858542314,0.27072173136730265,256,0.21330324713746526,0.19018650282564434,0.2362481216564181,True
Qwen/Qwen2.5-7B,NOVELTY,10,0.040768071984568104,0.037321736762701556,256,0.2984331781603996,0.26672653885923736,0.33265190672276224,True
allenai/OLMo-2-1124-7B,ORIG,10,0.03313257483359728,0.02361659890607965,256,0.4263194670152962,0.3832354747614074,0.4682143665783074,True
allenai/OLMo-2-1124-7B,NEUTRAL,10,0.08094101520154116,0.04499847859209452,256,0.4826721977295701,0.44617287408857453,0.5178057188930169,True
allenai/OLMo-2-1124-7B,ANAPHORIC,10,0.2280311371621562,0.08346963404031742,256,0.6609812745027683,0.6361083994492254,0.6854287315370596,True
allenai/OLMo-2-1124-7B,NOVELTY,10,0.02895981074259475,0.02596502791008895,256,0.28379868194160074,0.24528425850862373,0.3273248285219969,True
answerdotai/ModernBERT-large,ORIG,1,0.20880135361488655,0.1545987721168967,250,0.38235845123993817,0.3503976826306406,0.4179337053234943,True
answerdotai/ModernBERT-large,NEUTRAL,10,0.12904019725430615,0.10190357126919133,250,0.37118056877352446,0.33284559463411023,0.40921638839172825,True
answerdotai/ModernBERT-large,ANAPHORIC,10,0.6868729968656941,0.6325716961607584,250,0.12854488001351075,0.10978358744314615,0.1508846802342253,True
answerdotai/ModernBERT-large,NOVELTY,10,0.24894579508799744,0.19836994896442758,250,0.31219097014321695,0.2760642235559511,0.34535732220749765,True
