model,frame_id,peak_N_mean_curve,peak_P_mean_curve,P_N30_mean_curve,n_words,drop_mean,drop_ci_lo,drop_ci_hi
HuggingFaceTB/SmolLM2-1.7B,F0,30,0.10109144297397746,0.10109144297397746,258,0.13788055392240406,0.11419798908644427,0.16376144008634155
HuggingFaceTB/SmolLM2-1.7B,F1,30,0.03230335297196111,0.03230335297196111,258,0.2549146690219047,0.22055046697825223,0.2904769090748594
HuggingFaceTB/SmolLM2-1.7B,F2,30,0.01915820718606356,0.01915820718606356,258,0.20632397339175523,0.17124661943514544,0.24030566092104577
HuggingFaceTB/SmolLM2-1.7B,F3,30,0.04012416887101347,0.04012416887101347,258,0.19127168867329325,0.16056356791672188,0.2239358766120446
HuggingFaceTB/SmolLM2-1.7B,F4,30,0.025895214517858707,0.025895214517858707,258,0.2131214611370532,0.1808072543647078,0.2468437183307652
HuggingFaceTB/SmolLM2-360M,F0,20,0.11270028348202644,0.10044250140344957,258,0.3270487640947624,0.29059825599183703,0.3669220321242112
HuggingFaceTB/SmolLM2-360M,F1,20,0.006062499667142085,0.005703785192452401,258,0.26735080214987716,0.23322334987689203,0.3006315928071024
HuggingFaceTB/SmolLM2-360M,F2,20,0.009303694020863352,0.008426230470225468,258,0.36455582606237846,0.32602444528498387,0.40731190799093187
HuggingFaceTB/SmolLM2-360M,F3,20,0.03155061847713276,0.03032986914698177,258,0.2618276378976252,0.22330339195705431,0.3000697294670132
HuggingFaceTB/SmolLM2-360M,F4,20,0.003364560813943806,0.0030176468839987884,258,0.3282896614132808,0.29362848808391706,0.3647175070782984
Qwen/Qwen2.5-0.5B,F0,3,0.18736130169172327,0.13168183517436205,256,0.32949906788609423,0.2937124613349805,0.36322843299389435
Qwen/Qwen2.5-0.5B,F1,3,0.01214258171526772,0.0082222207058944,256,0.3980795572461284,0.3503381123495234,0.4435653815544109
Qwen/Qwen2.5-0.5B,F2,3,0.01394995221980988,0.0060648945777757035,256,0.5890066134018755,0.5525980293437058,0.6211549917247788
Qwen/Qwen2.5-0.5B,F3,3,0.015495968628140844,0.014373541132599144,256,0.2559145208503365,0.21753135734382054,0.29174317253773646
Qwen/Qwen2.5-0.5B,F4,30,0.004923220994800914,0.004923220994800914,256,0.24727295852513528,0.21369217475045463,0.2798390016882834
Qwen/Qwen2.5-1.5B,F0,5,0.12517632698950365,0.06190402338739531,256,0.6928838933604375,0.6538262266269699,0.7333264538451468
Qwen/Qwen2.5-1.5B,F1,5,0.02251260411451561,0.014474489951316727,256,0.6841025851550528,0.6394498797480135,0.7302828483547237
Qwen/Qwen2.5-1.5B,F2,3,0.010317369077711191,0.001952221762834938,256,0.8249357348133293,0.7973224924643328,0.8555300006159485
Qwen/Qwen2.5-1.5B,F3,3,0.038509527943688227,0.0076443856677914646,256,0.8557172887289356,0.8287911792456327,0.8836252857192775
Qwen/Qwen2.5-1.5B,F4,5,0.007722940817160406,0.00377979806472295,256,0.6291163588113311,0.584985968516887,0.671526048870533
Qwen/Qwen2.5-14B,F0,3,0.22275760499496755,0.06495431643060101,256,0.7331473948803614,0.7055477890451826,0.761250464293235
Qwen/Qwen2.5-14B,F1,5,0.027818355806232375,0.014800064359093312,256,0.49890719090957536,0.46436710187303054,0.5301682552189095
Qwen/Qwen2.5-14B,F2,5,0.01844980814007613,0.01043204831245248,256,0.47923004853282325,0.4473438855534044,0.5124381634991991
Qwen/Qwen2.5-14B,F3,3,0.08263892588229282,0.03055478021633462,256,0.6737238749343872,0.6448344549607988,0.7042920734735768
Qwen/Qwen2.5-14B,F4,5,0.020899897010423274,0.0063007683230011935,256,0.5447070154175053,0.5107422981952093,0.5773465029423926
Qwen/Qwen2.5-3B,F0,3,0.10888871241216691,0.04036391423960595,256,0.43402279618044703,0.3973426074099034,0.4768907696193416
Qwen/Qwen2.5-3B,F1,30,0.014440120842776238,0.014440120842776238,256,0.4175070066683657,0.3720512517513777,0.46160817451043296
Qwen/Qwen2.5-3B,F2,3,0.005684336447615124,0.004057328008286731,256,0.4806100782571495,0.44370728599392106,0.5158225304862188
Qwen/Qwen2.5-3B,F3,3,0.05382515186505543,0.02564840916261346,256,0.5506367350471204,0.51525346699419,0.586519762894699
Qwen/Qwen2.5-3B,F4,3,0.0076057901919668325,0.00343617955967801,256,0.43560024099023015,0.4009140116148907,0.47125496657561217
Qwen/Qwen2.5-7B,F0,5,0.1339757465098046,0.10629922581887286,256,0.46061381201867224,0.42229340011249045,0.5024099243040294
Qwen/Qwen2.5-7B,F1,30,0.02892241341027102,0.02892241341027102,256,0.2817974829369183,0.247250108277494,0.31997010305068346
Qwen/Qwen2.5-7B,F2,30,0.018447254102625266,0.018447254102625266,256,0.3927016548492832,0.35395213299252976,0.43386862896100675
Qwen/Qwen2.5-7B,F3,30,0.045237713347944464,0.045237713347944464,256,0.28339098954295083,0.24976322270826262,0.3207995273913762
Qwen/Qwen2.5-7B,F4,30,0.11547775095380075,0.11547775095380075,256,0.20900531443576958,0.17143801969225245,0.2492707795577863
Qwen/Qwen2.5-7B-Instruct,F0,10,0.20896426087801956,0.1545783064156936,256,0.5493202832022507,0.5073178420690666,0.5922406651982296
Qwen/Qwen2.5-7B-Instruct,F1,5,0.02685460100659043,0.024224252974844873,256,0.5119170630823243,0.46529364771016296,0.5525669886520695
Qwen/Qwen2.5-7B-Instruct,F2,10,0.014396241617596672,0.010676959400550246,256,0.494063043292173,0.4521342087124069,0.5345143746390535
Qwen/Qwen2.5-7B-Instruct,F3,30,0.08770355916888661,0.08770355916888661,256,0.3758527597805841,0.3431505356408316,0.41907845470365845
Qwen/Qwen2.5-7B-Instruct,F4,30,0.09742272822702436,0.09742272822702436,256,0.28147068994251667,0.2359192289272879,0.3272273893171641
allenai/OLMo-2-0425-1B,F0,20,0.03936882471597869,0.032511643064268014,256,0.43396518124445776,0.38718093287087785,0.47220988412535136
allenai/OLMo-2-0425-1B,F1,20,0.013398897100191043,0.013173576697504963,256,0.4999758817536198,0.4513966410738443,0.5452650120432838
allenai/OLMo-2-0425-1B,F2,30,0.00541265501648347,0.00541265501648347,256,0.29095298441247275,0.2444501628505385,0.33547168467195915
