word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes,token_id,encoded_form
bread,concrete_high,concrete,mid,food,5,4.5,,6956, bread
water,concrete_high,concrete,very_high,food,5,5.52,,913, water
milk,concrete_high,concrete,mid,food,4,4.66,,4788, milk
rice,concrete_high,concrete,mid,food,4,4.55,,7341, rice
meat,concrete_high,concrete,mid,food,4,4.63,,5176, meat
egg,concrete_high,concrete,mid,food,3,4.46,,3785, egg
salt,concrete_high,concrete,mid,food,4,4.6,,5420, salt
sugar,concrete_high,concrete,mid,food,5,4.68,,3982, sugar
cheese,concrete_high,concrete,mid,food,6,4.57,,10421, cheese
tea,concrete_high,concrete,mid,food,3,4.73,,7188, tea
coffee,concrete_high,concrete,high,food,6,4.86,,6728, coffee
soup,concrete_high,concrete,mid,food,4,4.15,,14562, soup
apple,concrete_high,concrete,mid,food,5,4.76,,11977, apple
fruit,concrete_high,concrete,mid,food,5,4.57,,4354, fruit
food,concrete_high,concrete,high,food,4,5.4,,1114, food
dog,concrete_high,concrete,high,animal,3,5.1,,2767, dog
cat,concrete_high,concrete,mid,animal,3,4.78,,2644, cat
horse,concrete_high,concrete,mid,animal,5,4.76,,6391, horse
bird,concrete_high,concrete,mid,animal,4,4.63,,5615, bird
fish,concrete_high,concrete,high,animal,4,4.9,,2698, fish
sheep,concrete_high,concrete,mid,animal,5,4.19,,11108, sheep
pig,concrete_high,concrete,mid,animal,3,4.14,,6342, pig
cow,concrete_high,concrete,mid,animal,3,4.14,,9956, cow
house,concrete_high,concrete,very_high,object,5,5.71,,2291, house
car,concrete_high,concrete,high,object,3,5.45,,1076, car
door,concrete_high,concrete,high,object,4,5.08,,6644, door
table,concrete_high,concrete,high,object,5,5.05,,3252, table
chair,concrete_high,concrete,mid,object,5,4.69,,9192, chair
bed,concrete_high,concrete,high,object,3,5.07,,4463, bed
book,concrete_high,concrete,high,object,4,5.43,,1863, book
paper,concrete_high,concrete,high,object,5,5.07,,1941, paper
phone,concrete_high,concrete,high,object,5,5.3,,5460, phone
window,concrete_high,concrete,high,object,6,4.8,,5700, window
box,concrete_high,concrete,high,object,3,5.04,,3985, box
bag,concrete_high,concrete,mid,object,3,4.79,,8727, bag
cup,concrete_high,concrete,high,object,3,5.11,,7118, cup
knife,concrete_high,concrete,mid,tool,5,4.41,,16760, knife
hammer,concrete_high,concrete,mid,tool,6,4.16,,19953, hammer
key,concrete_high,concrete,high,object,3,5.12,,1646, key
room,concrete_high,concrete,high,place,4,5.39,,3589, room
city,concrete_high,concrete,very_high,place,4,5.61,,2240, city
school,concrete_high,concrete,very_high,place,6,5.71,,1125, school
park,concrete_high,concrete,high,place,4,5.16,,5949, park
garden,concrete_high,concrete,mid,place,6,4.77,,4480, garden
office,concrete_high,concrete,high,place,6,5.4,,4608, office
street,concrete_high,concrete,high,place,6,5.28,,7280, street
road,concrete_high,concrete,high,place,4,5.24,,3398, road
hand,concrete_high,concrete,high,body,4,5.41,,1369, hand
eye,concrete_high,concrete,high,body,3,5.02,,3323, eye
face,concrete_high,concrete,high,body,4,5.45,,2715, face
foot,concrete_high,concrete,high,body,4,4.87,,3374, foot
arm,concrete_high,concrete,mid,body,3,4.73,,5026, arm
leg,concrete_high,concrete,mid,body,3,4.66,,1475, leg
head,concrete_high,concrete,very_high,body,4,5.51,,1680, head
heart,concrete_high,concrete,high,body,5,5.31,,1911, heart
hair,concrete_high,concrete,high,body,4,5.08,,4416, hair
mouth,concrete_high,concrete,high,body,5,4.83,,4388, mouth
tree,concrete_high,concrete,high,natural_object,4,4.85,,3187, tree
stone,concrete_high,concrete,high,natural_object,5,4.8,,5692, stone
rock,concrete_high,concrete,high,natural_object,4,5.03,,4022, rock
river,concrete_high,concrete,high,natural_object,5,5.03,,4626, river
sky,concrete_high,concrete,mid,natural_object,3,4.72,,6376, sky
sun,concrete_high,concrete,high,natural_object,3,4.97,,2388, sun
