word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes,token_id,encoded_form
bread,concrete_high,concrete,mid,food,5,4.5,,16002, bread
water,concrete_high,concrete,very_high,food,5,5.52,,3015, water
milk,concrete_high,concrete,mid,food,4,4.66,,14074, milk
rice,concrete_high,concrete,mid,food,4,4.55,,19653, rice
meat,concrete_high,concrete,mid,food,4,4.63,,13041, meat
egg,concrete_high,concrete,mid,food,3,4.46,,18636, egg
salt,concrete_high,concrete,mid,food,4,4.6,,12021, salt
sugar,concrete_high,concrete,mid,food,5,4.68,,13163, sugar
cheese,concrete_high,concrete,mid,food,6,4.57,,17163, cheese
tea,concrete_high,concrete,mid,food,3,4.73,,15243, tea
coffee,concrete_high,concrete,high,food,6,4.86,,10799, coffee
soup,concrete_high,concrete,mid,food,4,4.15,,19174, soup
apple,concrete_high,concrete,mid,food,5,4.76,,23268, apple
fruit,concrete_high,concrete,mid,food,5,4.57,,13779, fruit
food,concrete_high,concrete,high,food,4,5.4,,3607, food
dog,concrete_high,concrete,high,animal,3,5.1,,5562, dog
cat,concrete_high,concrete,mid,animal,3,4.78,,8251, cat
horse,concrete_high,concrete,mid,animal,5,4.76,,15223, horse
bird,concrete_high,concrete,mid,animal,4,4.63,,11958, bird
fish,concrete_high,concrete,high,animal,4,4.9,,7640, fish
sheep,concrete_high,concrete,mid,animal,5,4.19,,31912, sheep
pig,concrete_high,concrete,mid,animal,3,4.14,,23694, pig
cow,concrete_high,concrete,mid,animal,3,4.14,,19362, cow
house,concrete_high,concrete,very_high,object,5,5.71,,3753, house
car,concrete_high,concrete,high,object,3,5.45,,1803, car
door,concrete_high,concrete,high,object,4,5.08,,6006, door
table,concrete_high,concrete,high,object,5,5.05,,1965, table
chair,concrete_high,concrete,mid,object,5,4.69,,10496, chair
bed,concrete_high,concrete,high,object,3,5.07,,4845, bed
book,concrete_high,concrete,high,object,4,5.43,,2311, book
paper,concrete_high,concrete,high,object,5,5.07,,5567, paper
phone,concrete_high,concrete,high,object,5,5.3,,4540, phone
window,concrete_high,concrete,high,object,6,4.8,,3241, window
box,concrete_high,concrete,high,object,3,5.04,,3745, box
bag,concrete_high,concrete,mid,object,3,4.79,,8968, bag
cup,concrete_high,concrete,high,object,3,5.11,,10525, cup
knife,concrete_high,concrete,mid,tool,5,4.41,,21430, knife
hammer,concrete_high,concrete,mid,tool,6,4.16,,23457, hammer
key,concrete_high,concrete,high,object,3,5.12,,1376, key
room,concrete_high,concrete,high,place,4,5.39,,3054, room
city,concrete_high,concrete,very_high,place,4,5.61,,3283, city
school,concrete_high,concrete,very_high,place,6,5.71,,2906, school
park,concrete_high,concrete,high,place,4,5.16,,6118, park
garden,concrete_high,concrete,mid,place,6,4.77,,13551, garden
office,concrete_high,concrete,high,place,6,5.4,,5163, office
street,concrete_high,concrete,high,place,6,5.28,,8592, street
road,concrete_high,concrete,high,place,4,5.24,,5636, road
hand,concrete_high,concrete,high,body,4,5.41,,1424, hand
eye,concrete_high,concrete,high,body,3,5.02,,7912, eye
face,concrete_high,concrete,high,body,4,5.45,,3579, face
foot,concrete_high,concrete,high,body,4,4.87,,4478, foot
arm,concrete_high,concrete,mid,body,3,4.73,,6773, arm
leg,concrete_high,concrete,mid,body,3,4.66,,2472, leg
head,concrete_high,concrete,very_high,body,4,5.51,,1968, head
heart,concrete_high,concrete,high,body,5,5.31,,4746, heart
hair,concrete_high,concrete,high,body,4,5.08,,6869, hair
mouth,concrete_high,concrete,high,body,5,4.83,,10780, mouth
tree,concrete_high,concrete,high,natural_object,4,4.85,,4916, tree
stone,concrete_high,concrete,high,natural_object,5,4.8,,9798, stone
rock,concrete_high,concrete,high,natural_object,4,5.03,,6946, rock
river,concrete_high,concrete,high,natural_object,5,5.03,,14796, river
sky,concrete_high,concrete,mid,natural_object,3,4.72,,12884, sky
sun,concrete_high,concrete,high,natural_object,3,4.97,,7015, sun
moon,concrete_high,concrete,mid,natural_object,4,4.7,,17788, moon
cloud,concrete_high,concrete,mid,natural_object,5,4.46,,9437, cloud
fire,concrete_high,concrete,high,natural_object,4,5.3,,3940, fire
wood,concrete_high,concrete,mid,natural_object,4,4.78,,7579, wood
earth,concrete_high,concrete,high,natural_object,5,5.06,,9393, earth
pen,concrete_high,concrete,mid,tool,3,4.38,,5750, pen
clock,concrete_high,concrete,mid,tool,5,4.43,,8866, clock
watch,concrete_high,concrete,high,tool,5,5.34,,3736, watch
camera,concrete_high,concrete,high,tool,6,4.87,,6249, camera
brush,concrete_high,concrete,mid,tool,5,4.23,,15625, brush
ladder,concrete_high,concrete,mid,tool,6,4.03,,35765, ladder
man,concrete_high,concrete,very_high,object,3,5.82,,883, man
woman,concrete_high,concrete,high,object,5,5.35,,5220, woman
child,concrete_high,concrete,high,object,5,5.3,,1682, child
boy,concrete_high,concrete,high,object,3,5.17,,8171, boy
girl,concrete_high,concrete,high,object,4,5.38,,3743, girl
baby,concrete_high,concrete,high,object,4,5.26,,8770, baby
violin,concrete_low,concrete,low,tool,6,3.74,,62037, violin
lantern,concrete_low,concrete,low,object,7,3.61,,73165, lantern
helmet,concrete_low,concrete,mid,object,6,4.02,,31535, helmet
pearl,concrete_low,concrete,mid,object,5,4.14,,69623, pearl
anchor,concrete_low,concrete,mid,object,6,4.02,,17105, anchor
shovel,concrete_low,concrete,low,tool,6,3.5,,91991, shovel
kettle,concrete_low,concrete,low,tool,6,3.54,,72318, kettle
compass,concrete_low,concrete,low,tool,7,3.74,,23721, compass
telescope,concrete_low,concrete,low,tool,9,3.75,,55825, telescope
microscope,concrete_low,concrete,low,tool,10,3.5,,72657, microscope
ribbon,concrete_low,concrete,low,object,6,3.81,,44567, ribbon
button,concrete_low,concrete,mid,object,6,4.56,,3137, button
piano,concrete_low,concrete,mid,tool,5,4.31,,26278, piano
eagle,concrete_low,concrete,mid,animal,5,4.13,,59889, eagle
tiger,concrete_low,concrete,mid,animal,5,4.3,,51735, tiger
camel,concrete_low,concrete,low,animal,5,3.64,,49152, camel
snake,concrete_low,concrete,mid,animal,5,4.23,,25265, snake
rabbit,concrete_low,concrete,mid,animal,6,4.05,,38724, rabbit
turtle,concrete_low,concrete,low,animal,6,3.91,,36089, turtle
fox,concrete_low,concrete,mid,animal,3,4.66,,38835, fox
deer,concrete_low,concrete,mid,animal,4,4.12,,38049, deer
frog,concrete_low,concrete,low,animal,4,3.89,,59881, frog
bee,concrete_low,concrete,mid,animal,3,4.09,,37228, bee
ant,concrete_low,concrete,low,animal,3,3.86,,3196, ant
owl,concrete_low,concrete,low,animal,3,3.87,,52269, owl
crow,concrete_low,concrete,low,animal,4,3.8,,9276, crow
whale,concrete_low,concrete,low,animal,5,3.98,,50019, whale
spoon,concrete_low,concrete,low,tool,5,3.88,,45505, spoon
fork,concrete_low,concrete,mid,tool,4,4.03,,22435, fork
plate,concrete_low,concrete,mid,object,5,4.55,,11968, plate
bowl,concrete_low,concrete,mid,object,4,4.63,,19212, bowl
vase,concrete_low,concrete,low,object,4,3.54,,92384, vase
mirror,concrete_low,concrete,mid,object,6,4.47,,17846, mirror
rope,concrete_low,concrete,mid,tool,4,4.06,,33420, rope
blanket,concrete_low,concrete,mid,object,7,4.07,,38039, blanket
pillow,concrete_low,concrete,low,object,6,3.96,,42325, pillow
carpet,concrete_low,concrete,mid,object,6,4.18,,27854, carpet
drum,concrete_low,concrete,mid,tool,4,4.11,,23196, drum
ankle,concrete_low,concrete,low,body,5,3.97,,38348, ankle
elbow,concrete_low,concrete,low,body,5,3.84,,45711, elbow
knee,concrete_low,concrete,mid,body,4,4.33,,21381, knee
wrist,concrete_low,concrete,mid,body,5,4.01,,32171, wrist
liver,concrete_low,concrete,mid,body,5,4.18,,25506, liver
kidney,concrete_low,concrete,mid,body,6,4.03,,37942, kidney
spine,concrete_low,concrete,low,body,5,3.93,,34676, spine
temple,concrete_low,concrete,mid,place,6,4.45,,26752, temple
castle,concrete_low,concrete,mid,place,6,4.45,,32584, castle
cottage,concrete_low,concrete,mid,place,7,4.0,,45622, cottage
desert,concrete_low,concrete,mid,place,6,4.4,,23603, desert
forest,concrete_low,concrete,mid,place,6,4.7,,13638, forest
harbor,concrete_low,concrete,mid,place,6,4.15,,56411, harbor
village,concrete_low,concrete,high,place,7,4.82,,14126, village
valley,concrete_low,concrete,mid,place,6,4.72,,33581, valley
canyon,concrete_low,concrete,low,place,6,3.96,,83200, canyon
comet,concrete_low,concrete,low,natural_object,5,3.64,,69986, comet
crystal,concrete_low,concrete,mid,natural_object,7,4.4,,25055, crystal
glacier,concrete_low,concrete,low,natural_object,7,3.58,,93767, glacier
planet,concrete_low,concrete,mid,natural_object,6,4.68,,11580, planet
crater,concrete_low,concrete,low,natural_object,6,3.55,,74707, crater
love,abstract_high,abstract,very_high,emotion,4,5.82,,2948, love
fear,abstract_high,abstract,high,emotion,4,4.95,,8679, fear
hope,abstract_high,abstract,high,emotion,4,5.44,,3900, hope
joy,abstract_high,abstract,mid,emotion,3,4.55,,15888, joy
anger,abstract_high,abstract,mid,emotion,5,4.42,,19234, anger
hate,abstract_high,abstract,high,emotion,4,5.11,,12213, hate
pain,abstract_high,abstract,high,emotion,4,5.03,,6646, pain
pride,abstract_high,abstract,mid,emotion,5,4.49,,21770, pride
trust,abstract_high,abstract,high,emotion,5,5.13,,6950, trust
idea,abstract_high,abstract,high,cognition,4,5.36,,4522, idea
mind,abstract_high,abstract,high,cognition,4,5.41,,3971, mind
thought,abstract_high,abstract,very_high,cognition,7,5.59,,3381, thought
memory,abstract_high,abstract,high,cognition,6,4.81,,4938, memory
dream,abstract_high,abstract,high,cognition,5,4.91,,7904, dream
knowledge,abstract_high,abstract,high,cognition,9,4.96,,6540, knowledge
reason,abstract_high,abstract,high,cognition,6,5.32,,2874, reason
belief,abstract_high,abstract,mid,cognition,6,4.46,,16396, belief
question,abstract_high,abstract,high,cognition,8,5.35,,3405, question
family,abstract_high,abstract,very_high,social_concept,6,5.66,,2997, family
friend,abstract_high,abstract,high,social_concept,6,5.37,,4238, friend
home,abstract_high,abstract,very_high,social_concept,4,5.81,,2114, home
life,abstract_high,abstract,very_high,social_concept,4,5.89,,2272, life
death,abstract_high,abstract,high,social_concept,5,5.4,,4545, death
work,abstract_high,abstract,very_high,social_concept,4,5.96,,975, work
money,abstract_high,abstract,very_high,social_concept,5,5.64,,3220, money
time,abstract_high,abstract,very_high,social_concept,4,6.29,,882, time
history,abstract_high,abstract,high,social_concept,7,5.39,,3840, history
culture,abstract_high,abstract,high,social_concept,7,5.03,,7674, culture
language,abstract_high,abstract,high,social_concept,8,5.1,,4128, language
music,abstract_high,abstract,very_high,social_concept,5,5.52,,4627, music
art,abstract_high,abstract,high,social_concept,3,5.29,,1947, art
power,abstract_high,abstract,very_high,political_concept,5,5.52,,2355, power
freedom,abstract_high,abstract,high,political_concept,7,4.86,,11290, freedom
law,abstract_high,abstract,high,political_concept,3,5.46,,2329, law
right,abstract_high,abstract,very_high,political_concept,5,5.96,,1290, right
peace,abstract_high,abstract,high,political_concept,5,5.02,,8919, peace
war,abstract_high,abstract,high,political_concept,3,5.46,,4116, war
government,abstract_high,abstract,very_high,political_concept,10,5.57,,3033, government
truth,abstract_high,abstract,high,moral_concept,5,5.05,,8046, truth
good,abstract_high,abstract,very_high,moral_concept,4,6.12,,1661, good
evil,abstract_high,abstract,mid,moral_concept,4,4.74,,13962, evil
honor,abstract_high,abstract,mid,moral_concept,5,4.69,,15669, honor
justice,abstract_high,abstract,high,moral_concept,7,4.97,,12161, justice
change,abstract_high,abstract,very_high,cognition,6,5.54,,2297, change
future,abstract_high,abstract,high,cognition,6,5.33,,3853, future
reality,abstract_high,abstract,high,cognition,7,4.89,,8729, reality
nature,abstract_high,abstract,high,cognition,6,4.98,,6993, nature
system,abstract_high,abstract,very_high,cognition,6,5.56,,1849, system
problem,abstract_high,abstract,high,cognition,7,5.4,,3491, problem
answer,abstract_high,abstract,high,cognition,6,5.17,,4226, answer
story,abstract_high,abstract,high,cognition,5,5.45,,3364, story
name,abstract_high,abstract,very_high,cognition,4,5.61,,829, name
number,abstract_high,abstract,very_high,cognition,6,5.62,,1372, number
word,abstract_high,abstract,high,cognition,4,5.26,,3409, word
voice,abstract_high,abstract,high,cognition,5,5.07,,7743, voice
sound,abstract_high,abstract,high,cognition,5,5.15,,5112, sound
light,abstract_high,abstract,high,cognition,5,5.33,,3100, light
dark,abstract_high,abstract,high,cognition,4,5.04,,6319, dark
color,abstract_high,abstract,high,cognition,5,4.91,,1894, color
shape,abstract_high,abstract,mid,cognition,5,4.72,,6083, shape
size,abstract_high,abstract,high,cognition,4,5.13,,1379, size
space,abstract_high,abstract,high,cognition,5,5.23,,3550, space
place,abstract_high,abstract,very_high,social_concept,5,5.71,,1992, place
anxiety,abstract_low,abstract,mid,emotion,7,4.45,,18056, anxiety
envy,abstract_low,abstract,low,emotion,4,3.84,,65433, envy
grief,abstract_low,abstract,mid,emotion,5,4.08,,37284, grief
rage,abstract_low,abstract,mid,emotion,4,4.11,,32949, rage
sorrow,abstract_low,abstract,low,emotion,6,3.73,,57496, sorrow
pity,abstract_low,abstract,low,emotion,4,3.98,,56943, pity
regret,abstract_low,abstract,mid,emotion,6,4.37,,22231, regret
disgust,abstract_low,abstract,low,emotion,7,3.61,,67062, disgust
delight,abstract_low,abstract,low,emotion,7,3.97,,17970, delight
longing,abstract_low,abstract,low,emotion,7,3.5,,78322, longing
contempt,abstract_low,abstract,low,emotion,8,3.74,,45354, contempt
wisdom,abstract_low,abstract,mid,cognition,6,4.3,,23389, wisdom
intuition,abstract_low,abstract,low,cognition,9,3.54,,56251, intuition
paradox,abstract_low,abstract,low,cognition,7,3.63,,51213, paradox
logic,abstract_low,abstract,mid,cognition,5,4.36,,12218, logic
intent,abstract_low,abstract,mid,cognition,6,4.28,,7385, intent
doubt,abstract_low,abstract,high,cognition,5,4.9,,10492, doubt
clarity,abstract_low,abstract,low,cognition,7,3.9,,31273, clarity
loyalty,abstract_low,abstract,mid,social_concept,7,4.17,,31783, loyalty
solitude,abstract_low,abstract,low,social_concept,8,3.42,,98444, solitude
ritual,abstract_low,abstract,mid,social_concept,6,4.02,,27179, ritual
tradition,abstract_low,abstract,mid,social_concept,9,4.5,,13815, tradition
legend,abstract_low,abstract,mid,social_concept,6,4.44,,13016, legend
custom,abstract_low,abstract,mid,social_concept,6,4.43,,2526, custom
democracy,abstract_low,abstract,mid,political_concept,9,4.51,,19525, democracy
republic,abstract_low,abstract,mid,political_concept,8,4.6,,34444, republic
treaty,abstract_low,abstract,mid,political_concept,6,4.31,,37897, treaty
doctrine,abstract_low,abstract,low,political_concept,8,3.98,,32135, doctrine
regime,abstract_low,abstract,mid,political_concept,6,4.3,,17484, regime
policy,abstract_low,abstract,high,political_concept,6,5.17,,4842, policy
authority,abstract_low,abstract,high,political_concept,9,4.81,,11198, authority
liberty,abstract_low,abstract,mid,political_concept,7,4.34,,30120, liberty
tyranny,abstract_low,abstract,low,political_concept,7,3.52,,76901, tyranny
mercy,abstract_low,abstract,mid,moral_concept,5,4.25,,38224, mercy
virtue,abstract_low,abstract,low,moral_concept,6,3.94,,34360, virtue
vice,abstract_low,abstract,mid,moral_concept,4,4.71,,16774, vice
duty,abstract_low,abstract,mid,moral_concept,4,4.71,,14189, duty
shame,abstract_low,abstract,mid,moral_concept,5,4.55,,20973, shame
guilt,abstract_low,abstract,mid,moral_concept,5,4.13,,33851, guilt
dignity,abstract_low,abstract,mid,moral_concept,7,4.02,,37829, dignity
integrity,abstract_low,abstract,mid,moral_concept,9,4.22,,16614, integrity
ambition,abstract_low,abstract,low,cognition,8,3.91,,44615, ambition
destiny,abstract_low,abstract,mid,cognition,7,4.19,,46076, destiny
essence,abstract_low,abstract,mid,cognition,7,4.03,,27491, essence
origin,abstract_low,abstract,mid,cognition,6,4.55,,6238, origin
purpose,abstract_low,abstract,high,cognition,7,4.88,,7428, purpose
notion,abstract_low,abstract,mid,cognition,6,4.17,,22240, notion
legacy,abstract_low,abstract,mid,social_concept,6,4.37,,19588, legacy
burden,abstract_low,abstract,mid,cognition,6,4.23,,22305, burden
symbol,abstract_low,abstract,mid,cognition,6,4.31,,7735, symbol
metaphor,abstract_low,abstract,low,cognition,8,3.73,,45350, metaphor
perception,abstract_low,abstract,mid,cognition,10,4.18,,20431, perception
imagination,abstract_low,abstract,mid,cognition,11,4.22,,27799, imagination
conscience,abstract_low,abstract,low,cognition,10,3.96,,41463, conscience
