word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes,token_id,encoded_form
bread,concrete_high,concrete,mid,food,5,4.5,,10238, bread
water,concrete_high,concrete,very_high,food,5,5.52,,1824, water
milk,concrete_high,concrete,mid,food,4,4.66,,8463, milk
rice,concrete_high,concrete,mid,food,4,4.55,,11789, rice
meat,concrete_high,concrete,mid,food,4,4.63,,9132, meat
egg,concrete_high,concrete,mid,food,3,4.46,,7238, egg
salt,concrete_high,concrete,mid,food,4,4.6,,7043, salt
sugar,concrete_high,concrete,mid,food,5,4.68,,8618, sugar
cheese,concrete_high,concrete,mid,food,6,4.57,,12173, cheese
tea,concrete_high,concrete,mid,food,3,4.73,,10331, tea
coffee,concrete_high,concrete,high,food,6,4.86,,8574, coffee
soup,concrete_high,concrete,mid,food,4,4.15,,18377, soup
apple,concrete_high,concrete,mid,food,5,4.76,,19126, apple
fruit,concrete_high,concrete,mid,food,5,4.57,,9279, fruit
food,concrete_high,concrete,high,food,4,5.4,,2739, food
dog,concrete_high,concrete,high,animal,3,5.1,,4370, dog
cat,concrete_high,concrete,mid,animal,3,4.78,,5798, cat
horse,concrete_high,concrete,mid,animal,5,4.76,,8815, horse
bird,concrete_high,concrete,mid,animal,4,4.63,,12621, bird
fish,concrete_high,concrete,high,animal,4,4.9,,6773, fish
sheep,concrete_high,concrete,mid,animal,5,4.19,,16396, sheep
pig,concrete_high,concrete,mid,animal,3,4.14,,8393, pig
cow,concrete_high,concrete,mid,animal,3,4.14,,12120, cow
house,concrete_high,concrete,very_high,object,5,5.71,,2419, house
car,concrete_high,concrete,high,object,3,5.45,,1113, car
door,concrete_high,concrete,high,object,4,5.08,,3369, door
table,concrete_high,concrete,high,object,5,5.05,,2829, table
chair,concrete_high,concrete,mid,object,5,4.69,,6951, chair
bed,concrete_high,concrete,high,object,3,5.07,,3722, bed
book,concrete_high,concrete,high,object,4,5.43,,1984, book
paper,concrete_high,concrete,high,object,5,5.07,,2929, paper
phone,concrete_high,concrete,high,object,5,5.3,,4481, phone
window,concrete_high,concrete,high,object,6,4.8,,3497, window
box,concrete_high,concrete,high,object,3,5.04,,3817, box
bag,concrete_high,concrete,mid,object,3,4.79,,7351, bag
cup,concrete_high,concrete,high,object,3,5.11,,5500, cup
knife,concrete_high,concrete,mid,tool,5,4.41,,12798, knife
hammer,concrete_high,concrete,mid,tool,6,4.16,,24627, hammer
key,concrete_high,concrete,high,object,3,5.12,,2234, key
room,concrete_high,concrete,high,place,4,5.39,,2316, room
city,concrete_high,concrete,very_high,place,4,5.61,,2846, city
school,concrete_high,concrete,very_high,place,6,5.71,,2143, school
park,concrete_high,concrete,high,place,4,5.16,,5603, park
garden,concrete_high,concrete,mid,place,6,4.77,,10329, garden
office,concrete_high,concrete,high,place,6,5.4,,3906, office
street,concrete_high,concrete,high,place,6,5.28,,6406, street
road,concrete_high,concrete,high,place,4,5.24,,3971, road
hand,concrete_high,concrete,high,body,4,5.41,,1133, hand
eye,concrete_high,concrete,high,body,3,5.02,,5130, eye
face,concrete_high,concrete,high,body,4,5.45,,2454, face
foot,concrete_high,concrete,high,body,4,4.87,,3174, foot
arm,concrete_high,concrete,mid,body,3,4.73,,4430, arm
leg,concrete_high,concrete,mid,body,3,4.66,,1791, leg
head,concrete_high,concrete,very_high,body,4,5.51,,1481, head
heart,concrete_high,concrete,high,body,5,5.31,,2798, heart
hair,concrete_high,concrete,high,body,4,5.08,,4707, hair
mouth,concrete_high,concrete,high,body,5,4.83,,6208, mouth
tree,concrete_high,concrete,high,natural_object,4,4.85,,5202, tree
stone,concrete_high,concrete,high,natural_object,5,4.8,,8805, stone
rock,concrete_high,concrete,high,natural_object,4,5.03,,5561, rock
river,concrete_high,concrete,high,natural_object,5,5.03,,8281, river
sky,concrete_high,concrete,mid,natural_object,3,4.72,,8467, sky
sun,concrete_high,concrete,high,natural_object,3,4.97,,5101, sun
moon,concrete_high,concrete,mid,natural_object,4,4.7,,12334, moon
cloud,concrete_high,concrete,mid,natural_object,5,4.46,,9005, cloud
fire,concrete_high,concrete,high,natural_object,4,5.3,,3289, fire
wood,concrete_high,concrete,mid,natural_object,4,4.78,,5534, wood
earth,concrete_high,concrete,high,natural_object,5,5.06,,6149, earth
pen,concrete_high,concrete,mid,tool,3,4.38,,4331, pen
clock,concrete_high,concrete,mid,tool,5,4.43,,8886, clock
watch,concrete_high,concrete,high,tool,5,5.34,,3698, watch
camera,concrete_high,concrete,high,tool,6,4.87,,6568, camera
brush,concrete_high,concrete,mid,tool,5,4.23,,16463, brush
ladder,concrete_high,concrete,mid,tool,6,4.03,,23465, ladder
man,concrete_high,concrete,very_high,object,3,5.82,,637, man
woman,concrete_high,concrete,high,object,5,5.35,,3416, woman
child,concrete_high,concrete,high,object,5,5.3,,1429, child
boy,concrete_high,concrete,high,object,3,5.17,,5006, boy
girl,concrete_high,concrete,high,object,4,5.38,,3226, girl
baby,concrete_high,concrete,high,object,4,5.26,,6858, baby
violin,concrete_low,concrete,low,tool,6,3.74,,36608, violin
lantern,concrete_low,concrete,low,object,7,3.61,,40962, lantern
helmet,concrete_low,concrete,mid,object,6,4.02,,26358, helmet
anchor,concrete_low,concrete,mid,object,6,4.02,,18536, anchor
shovel,concrete_low,concrete,low,tool,6,3.5,,42553, shovel
compass,concrete_low,concrete,low,tool,7,3.74,,17066, compass
telescope,concrete_low,concrete,low,tool,9,3.75,,29528, telescope
microscope,concrete_low,concrete,low,tool,10,3.5,,17199, microscope
ribbon,concrete_low,concrete,low,object,6,3.81,,28865, ribbon
button,concrete_low,concrete,mid,object,6,4.56,,6409, button
piano,concrete_low,concrete,mid,tool,5,4.31,,18542, piano
eagle,concrete_low,concrete,mid,animal,5,4.13,,42484, eagle
tiger,concrete_low,concrete,mid,animal,5,4.3,,39121, tiger
camel,concrete_low,concrete,low,animal,5,3.64,,46493, camel
snake,concrete_low,concrete,mid,animal,5,4.23,,24980, snake
rabbit,concrete_low,concrete,mid,animal,6,4.05,,17876, rabbit
turtle,concrete_low,concrete,low,animal,6,3.91,,45993, turtle
fox,concrete_low,concrete,mid,animal,3,4.66,,30013, fox
deer,concrete_low,concrete,mid,animal,4,4.12,,24563, deer
frog,concrete_low,concrete,low,animal,4,3.89,,40096, frog
bee,concrete_low,concrete,mid,animal,3,4.09,,30747, bee
ant,concrete_low,concrete,low,animal,3,3.86,,1331, ant
owl,concrete_low,concrete,low,animal,3,3.87,,29973,owl
crow,concrete_low,concrete,low,animal,4,3.8,,6207, crow
whale,concrete_low,concrete,low,animal,5,3.98,,35105, whale
spoon,concrete_low,concrete,low,tool,5,3.88,,26531, spoon
fork,concrete_low,concrete,mid,tool,4,4.03,,21195, fork
plate,concrete_low,concrete,mid,object,5,4.55,,5340, plate
bowl,concrete_low,concrete,mid,object,4,4.63,,11636, bowl
mirror,concrete_low,concrete,mid,object,6,4.47,,11472, mirror
rope,concrete_low,concrete,mid,tool,4,4.06,,20762, rope
blanket,concrete_low,concrete,mid,object,7,4.07,,23069, blanket
pillow,concrete_low,concrete,low,object,6,3.96,,30055, pillow
