word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes,token_id,encoded_form
bread,concrete_high,concrete,mid,food,5,4.5,,18423,bread
water,concrete_high,concrete,very_high,food,5,5.52,,4094,water
milk,concrete_high,concrete,mid,food,4,4.66,,27274,milk
rice,concrete_high,concrete,mid,food,4,4.55,,19408,rice
meat,concrete_high,concrete,mid,food,4,4.63,,27654,meat
egg,concrete_high,concrete,mid,food,3,4.46,,19710,egg
salt,concrete_high,concrete,mid,food,4,4.6,,15795,salt
sugar,concrete_high,concrete,mid,food,5,4.68,,26438,sugar
tea,concrete_high,concrete,mid,food,3,4.73,,23429,tea
coffee,concrete_high,concrete,high,food,6,4.86,,26935,coffee
soup,concrete_high,concrete,mid,food,4,4.15,,22300,soup
apple,concrete_high,concrete,mid,food,5,4.76,,26163,apple
fruit,concrete_high,concrete,mid,food,5,4.57,,15774,fruit
food,concrete_high,concrete,high,food,4,5.4,,9687,food
dog,concrete_high,concrete,high,animal,3,5.1,,11203,dog
cat,concrete_high,concrete,mid,animal,3,4.78,,6635,cat
horse,concrete_high,concrete,mid,animal,5,4.76,,10435,horse
bird,concrete_high,concrete,mid,animal,4,4.63,,11199,bird
fish,concrete_high,concrete,high,animal,4,4.9,,9427,fish
sheep,concrete_high,concrete,mid,animal,5,4.19,,29735,sheep
cow,concrete_high,concrete,mid,animal,3,4.14,,21282,cow
house,concrete_high,concrete,very_high,object,5,5.71,,3699,house
car,concrete_high,concrete,high,object,3,5.45,,1559,car
door,concrete_high,concrete,high,object,4,5.08,,3050,door
table,concrete_high,concrete,high,object,5,5.05,,1591,table
chair,concrete_high,concrete,mid,object,5,4.69,,11774,chair
bed,concrete_high,concrete,high,object,3,5.07,,6592,bed
book,concrete_high,concrete,high,object,4,5.43,,3143,book
paper,concrete_high,concrete,high,object,5,5.07,,5650,paper
phone,concrete_high,concrete,high,object,5,5.3,,9008,phone
window,concrete_high,concrete,high,object,6,4.8,,3474,window
box,concrete_high,concrete,high,object,3,5.04,,3800,box
bag,concrete_high,concrete,mid,object,3,4.79,,19548,bag
cup,concrete_high,concrete,high,object,3,5.11,,18002,cup
key,concrete_high,concrete,high,object,3,5.12,,1820,key
room,concrete_high,concrete,high,place,4,5.39,,5716,room
city,concrete_high,concrete,very_high,place,4,5.61,,4272,city
