word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes
bread,concrete_high,concrete,mid,food,5,4.5,
water,concrete_high,concrete,very_high,food,5,5.52,
milk,concrete_high,concrete,mid,food,4,4.66,
rice,concrete_high,concrete,mid,food,4,4.55,
meat,concrete_high,concrete,mid,food,4,4.63,
egg,concrete_high,concrete,mid,food,3,4.46,
salt,concrete_high,concrete,mid,food,4,4.6,
sugar,concrete_high,concrete,mid,food,5,4.68,
tea,concrete_high,concrete,mid,food,3,4.73,
coffee,concrete_high,concrete,high,food,6,4.86,
soup,concrete_high,concrete,mid,food,4,4.15,
apple,concrete_high,concrete,mid,food,5,4.76,
fruit,concrete_high,concrete,mid,food,5,4.57,
food,concrete_high,concrete,high,food,4,5.4,
dog,concrete_high,concrete,high,animal,3,5.1,
cat,concrete_high,concrete,mid,animal,3,4.78,
horse,concrete_high,concrete,mid,animal,5,4.76,
bird,concrete_high,concrete,mid,animal,4,4.63,
fish,concrete_high,concrete,high,animal,4,4.9,
sheep,concrete_high,concrete,mid,animal,5,4.19,
cow,concrete_high,concrete,mid,animal,3,4.14,
house,concrete_high,concrete,very_high,object,5,5.71,
car,concrete_high,concrete,high,object,3,5.45,
door,concrete_high,concrete,high,object,4,5.08,
table,concrete_high,concrete,high,object,5,5.05,
chair,concrete_high,concrete,mid,object,5,4.69,
bed,concrete_high,concrete,high,object,3,5.07,
book,concrete_high,concrete,high,object,4,5.43,
paper,concrete_high,concrete,high,object,5,5.07,
phone,concrete_high,concrete,high,object,5,5.3,
window,concrete_high,concrete,high,object,6,4.8,
box,concrete_high,concrete,high,object,3,5.04,
bag,concrete_high,concrete,mid,object,3,4.79,
cup,concrete_high,concrete,high,object,3,5.11,
key,concrete_high,concrete,high,object,3,5.12,
room,concrete_high,concrete,high,place,4,5.39,
city,concrete_high,concrete,very_high,place,4,5.61,
school,concrete_high,concrete,very_high,place,6,5.71,
park,concrete_high,concrete,high,place,4,5.16,
garden,concrete_high,concrete,mid,place,6,4.77,
office,concrete_high,concrete,high,place,6,5.4,
street,concrete_high,concrete,high,place,6,5.28,
road,concrete_high,concrete,high,place,4,5.24,
hand,concrete_high,concrete,high,body,4,5.41,
eye,concrete_high,concrete,high,body,3,5.02,
face,concrete_high,concrete,high,body,4,5.45,
foot,concrete_high,concrete,high,body,4,4.87,
arm,concrete_high,concrete,mid,body,3,4.73,
leg,concrete_high,concrete,mid,body,3,4.66,
head,concrete_high,concrete,very_high,body,4,5.51,
heart,concrete_high,concrete,high,body,5,5.31,
hair,concrete_high,concrete,high,body,4,5.08,
mouth,concrete_high,concrete,high,body,5,4.83,
tree,concrete_high,concrete,high,natural_object,4,4.85,
stone,concrete_high,concrete,high,natural_object,5,4.8,
rock,concrete_high,concrete,high,natural_object,4,5.03,
river,concrete_high,concrete,high,natural_object,5,5.03,
sky,concrete_high,concrete,mid,natural_object,3,4.72,
sun,concrete_high,concrete,high,natural_object,3,4.97,
moon,concrete_high,concrete,mid,natural_object,4,4.7,
cloud,concrete_high,concrete,mid,natural_object,5,4.46,
fire,concrete_high,concrete,high,natural_object,4,5.3,
wood,concrete_high,concrete,mid,natural_object,4,4.78,
earth,concrete_high,concrete,high,natural_object,5,5.06,
pen,concrete_high,concrete,mid,tool,3,4.38,
clock,concrete_high,concrete,mid,tool,5,4.43,
watch,concrete_high,concrete,high,tool,5,5.34,
camera,concrete_high,concrete,high,tool,6,4.87,
man,concrete_high,concrete,very_high,object,3,5.82,
